variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS05995	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS06000	5.18E-01	5.10E-03	5.11E-03	8.45E-01	2.90E-01	-7.70E-01		
EW033_RS06020	1.96E-01	9.48E-01	9.50E-01	-2.46E-02	3.92E-01	-3.27E-01		
EW033_RS06025	3.39E-01	2.23E-01	2.28E-01	3.95E-01	3.24E-01	-4.66E-01		
EW033_RS06030	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06035	5.18E-01	2.00E-02	2.01E-02	7.10E-01	2.96E-01	-7.00E-01		
EW033_RS06045	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06050	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06055	1.79E-01	9.63E-01	9.68E-01	-1.66E-02	4.07E-01	-3.29E-01		
EW033_RS06060	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06065	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS06080	2.86E-01	3.30E-02	4.34E-02	6.86E-01	3.32E-01	-5.28E-01		
EW033_RS06085	1.61E-01	2.62E-01	2.14E-01	5.25E-01	4.18E-01	-4.16E-01		
EW033_RS06090	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06095	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS06105	3.57E-01	1.32E-01	1.50E-01	4.65E-01	3.19E-01	-4.98E-01		
EW033_RS06115	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS06120	1.79E-01	3.93E-01	4.37E-01	3.17E-01	4.04E-01	-3.88E-01		
EW033_RS06125	8.93E-02	8.43E-01	8.38E-01	1.12E-01	5.46E-01	-3.42E-01		
EW033_RS06130	4.82E-01	4.59E-01	4.59E-01	-2.31E-01	3.10E-01	-2.20E-01		
EW033_RS06135	2.50E-01	2.65E-01	2.29E-01	-4.32E-01	3.55E-01	-2.24E-01		
EW033_RS06140	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS06145	3.39E-01	1.88E-01	2.01E-01	4.19E-01	3.24E-01	-4.74E-01		
EW033_RS06150	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS06155	1.07E-01	4.84E-01	4.05E-01	4.20E-01	5.00E-01	-3.77E-01		
EW033_RS06160	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06165	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06170	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06175	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS06185	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS06190	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06195	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS06205	3.57E-02	9.83E-01	9.66E-01	3.63E-02	8.39E-01	-3.33E-01		
EW033_RS06210	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS06215	7.14E-02	1.39E-01	2.47E-01	6.99E-01	5.97E-01	-3.82E-01		
EW033_RS06225	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06230	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS06235	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06245	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS06250	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS06260	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06265	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS06280	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06285	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS06290	3.93E-01	5.42E-01	5.41E-01	-1.96E-01	3.18E-01	-2.55E-01		
EW033_RS06295	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS06300	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS06305	3.93E-01	5.81E-02	5.58E-02	6.02E-01	3.08E-01	-5.69E-01		
EW033_RS06310	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06315	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS06320	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS06325	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06330	3.93E-01	1.42E-01	1.53E-01	4.53E-01	3.13E-01	-5.10E-01		
EW033_RS06335	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06345	7.68E-01	1.01E-01	1.41E-01	5.40E-01	3.61E-01	-7.47E-01		
EW033_RS06350	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06355	2.86E-01	2.82E-01	2.76E-01	3.76E-01	3.41E-01	-4.39E-01		
EW033_RS06360	4.11E-01	1.71E-01	1.66E-01	4.36E-01	3.11E-01	-5.11E-01		
EW033_RS06365	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06375	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS06380	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06385	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS06390	1.79E-01	4.34E-01	3.97E-01	3.45E-01	4.04E-01	-3.93E-01		
EW033_RS06395	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS06400	2.86E-01	2.67E-01	3.04E-01	3.54E-01	3.41E-01	-4.33E-01		
EW033_RS06405	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS06410	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06415	1.96E-01	8.35E-01	8.41E-01	7.87E-02	3.92E-01	-3.47E-01		
EW033_RS06420	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06425	1.61E-01	8.36E-01	8.47E-01	-8.19E-02	4.24E-01	-3.19E-01		
EW033_RS06430	3.21E-01	2.90E-01	3.12E-01	3.37E-01	3.30E-01	-4.40E-01		
EW033_RS06435	5.36E-02	1.54E-01	2.02E-01	-8.80E-01	6.81E-01	-2.85E-01		
EW033_RS06440	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06475	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06485	2.50E-01	2.37E-01	2.48E-01	4.15E-01	3.55E-01	-4.36E-01		
EW033_RS06490	2.68E-01	1.77E-01	1.96E-01	4.53E-01	3.46E-01	-4.53E-01		
EW033_RS06510	6.79E-01	9.01E-02	1.10E-01	5.29E-01	3.26E-01	-6.91E-01		
EW033_RS06515	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06520	3.93E-01	1.47E-01	1.49E-01	4.58E-01	3.13E-01	-5.12E-01		
EW033_RS06525	6.96E-01	2.76E-01	2.84E-01	3.62E-01	3.35E-01	-5.84E-01		
EW033_RS06530	1.79E-01	5.23E-01	5.80E-01	2.26E-01	4.05E-01	-3.72E-01		
EW033_RS06535	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06540	3.57E-01	2.14E-01	2.15E-01	4.02E-01	3.20E-01	-4.75E-01		
EW033_RS06550	7.14E-02	4.12E-01	3.42E-01	-5.75E-01	6.00E-01	-2.91E-01		
EW033_RS06560	1.79E-01	5.31E-01	5.53E-01	2.42E-01	4.05E-01	-3.75E-01		
EW033_RS06570	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS06580	1.43E-01	2.84E-01	3.32E-01	4.32E-01	4.41E-01	-3.94E-01		
EW033_RS06585	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS06590	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06595	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS06600	3.57E-01	1.54E-01	1.76E-01	4.38E-01	3.19E-01	-4.88E-01		
EW033_RS06605	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06610	3.21E-01	9.11E-01	9.15E-01	3.59E-02	3.33E-01	-3.43E-01		
EW033_RS06615	2.50E-01	2.65E-01	2.29E-01	-4.32E-01	3.55E-01	-2.24E-01		
EW033_RS06620	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06625	2.50E-01	1.07E-01	8.11E-02	6.21E-01	3.50E-01	-4.87E-01		
EW033_RS06635	1.61E-01	5.77E-01	6.22E-01	2.10E-01	4.23E-01	-3.66E-01		
EW033_RS06640	7.32E-01	7.53E-02	1.12E-01	5.55E-01	3.43E-01	-7.38E-01		
EW033_RS06645	2.50E-01	2.31E-01	2.09E-01	4.51E-01	3.54E-01	-4.45E-01		
EW033_RS06650	6.79E-01	3.58E-01	3.53E-01	3.10E-01	3.31E-01	-5.42E-01		
EW033_RS06655	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06660	3.21E-01	5.08E-02	4.71E-02	6.53E-01	3.21E-01	-5.42E-01		
EW033_RS06670	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS06675	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS06680	3.57E-02	2.83E-01	3.95E-01	7.15E-01	8.34E-01	-3.57E-01		
EW033_RS06685	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS06690	1.07E-01	6.61E-01	6.54E-01	-2.27E-01	5.03E-01	-3.08E-01		
EW033_RS06695	2.14E-01	6.86E-02	1.18E-01	5.90E-01	3.71E-01	-4.58E-01		
EW033_RS06700	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS06705	4.64E-01	2.40E-02	2.33E-02	6.95E-01	2.98E-01	-6.55E-01		
EW033_RS06710	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06715	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06720	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06725	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS06730	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06735	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS06745	8.93E-02	6.98E-01	6.63E-01	-2.39E-01	5.45E-01	-3.11E-01		
EW033_RS06750	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06755	5.36E-02	4.62E-01	7.04E-01	2.64E-01	6.91E-01	-3.46E-01		
EW033_RS06760	2.86E-01	2.28E-01	2.04E-01	4.36E-01	3.40E-01	-4.57E-01		
EW033_RS06765	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS06770	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06775	7.86E-01	7.88E-02	1.11E-01	6.01E-01	3.71E-01	-8.04E-01		
EW033_RS06780	1.43E-01	9.81E-01	9.81E-01	1.08E-02	4.45E-01	-3.33E-01		
EW033_RS06785	3.21E-01	9.89E-02	8.22E-02	5.74E-01	3.24E-01	-5.16E-01		
EW033_RS06790	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06795	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06800	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS06805	2.86E-01	7.46E-03	8.49E-03	8.83E-01	3.23E-01	-5.84E-01		
EW033_RS06815	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS06820	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06825	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06835	3.57E-01	1.55E-01	1.46E-01	4.70E-01	3.19E-01	-5.00E-01		
EW033_RS06840	5.18E-01	1.70E-02	1.70E-02	7.28E-01	2.96E-01	-7.09E-01		
EW033_RS06845	1.43E-01	4.57E-01	3.57E-01	4.10E-01	4.42E-01	-3.90E-01		
EW033_RS06860	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS06865	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06870	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS06875	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS06880	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS06890	1.07E-01	8.80E-04	5.26E-02	9.63E-01	4.86E-01	-4.35E-01		
EW033_RS06895	1.79E-01	3.57E-01	3.57E-01	3.75E-01	4.03E-01	-3.99E-01		
EW033_RS06900	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS06905	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06910	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06915	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS06920	1.61E-01	4.96E-01	3.95E-01	-3.61E-01	4.21E-01	-2.74E-01		
EW033_RS06925	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06930	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS06935	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS06940	3.75E-01	1.81E-01	1.82E-01	4.27E-01	3.16E-01	-4.92E-01		
EW033_RS06945	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS06950	2.14E-01	6.86E-02	1.18E-01	5.90E-01	3.71E-01	-4.58E-01		
EW033_RS06955	4.46E-01	1.34E-02	1.38E-02	7.54E-01	2.96E-01	-6.68E-01		
EW033_RS06960	1.43E-01	9.02E-01	9.12E-01	4.92E-02	4.45E-01	-3.39E-01		
EW033_RS06965	7.14E-02	2.19E-01	4.47E-01	4.61E-01	6.01E-01	-3.65E-01		
EW033_RS06970	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS06975	3.75E-01	1.33E-01	1.55E-01	4.55E-01	3.16E-01	-5.03E-01		
EW033_RS06985	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS06990	8.93E-02	5.92E-01	5.12E-01	3.59E-01	5.44E-01	-3.64E-01		
EW033_RS07000	1.79E-01	9.83E-01	9.83E-01	8.84E-03	4.07E-01	-3.33E-01		
EW033_RS07005	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07010	1.07E-01	9.99E-01	9.99E-01	8.00E-04	5.04E-01	-3.32E-01		
EW033_RS07015	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS07020	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07035	2.50E-01	1.88E-01	1.49E-01	5.17E-01	3.53E-01	-4.61E-01		
EW033_RS07040	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07050	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS07055	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07065	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS07070	7.86E-01	5.24E-02	9.38E-02	6.31E-01	3.70E-01	-8.27E-01		
EW033_RS07080	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07090	1.07E-01	3.68E-01	5.39E-01	3.10E-01	5.02E-01	-3.65E-01		
EW033_RS07095	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS07100	1.61E-01	7.66E-02	4.33E-02	8.45E-01	4.08E-01	-4.68E-01		
EW033_RS07105	3.57E-01	2.57E-01	2.42E-01	3.80E-01	3.21E-01	-4.68E-01		
EW033_RS07110	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07115	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07125	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS07130	1.07E-01	4.21E-01	3.88E-01	4.36E-01	5.00E-01	-3.79E-01		
EW033_RS07135	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07140	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS07145	4.64E-01	2.44E-02	2.40E-02	6.92E-01	2.98E-01	-6.53E-01		
EW033_RS07155	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS07160	5.18E-01	3.37E-02	3.44E-02	6.49E-01	2.99E-01	-6.68E-01		
EW033_RS07165	7.14E-02	5.82E-01	6.74E-01	-2.56E-01	6.04E-01	-3.14E-01		
EW033_RS07170	1.61E-01	9.22E-01	9.18E-01	4.39E-02	4.24E-01	-3.39E-01		
EW033_RS07175	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07180	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07185	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS07190	3.21E-01	7.65E-03	8.03E-03	8.60E-01	3.12E-01	-6.08E-01		
EW033_RS07195	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07200	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07205	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS07210	2.68E-01	3.17E-01	3.27E-01	3.45E-01	3.49E-01	-4.24E-01		
EW033_RS07215	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS07220	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07225	4.46E-01	1.06E-01	1.06E-01	5.02E-01	3.06E-01	-5.56E-01		
EW033_RS07230	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS07235	2.50E-01	1.07E-01	8.11E-02	6.21E-01	3.50E-01	-4.87E-01		
EW033_RS07240	4.46E-01	7.48E-02	7.62E-02	5.50E-01	3.04E-01	-5.77E-01		
EW033_RS07245	4.82E-01	1.10E-01	1.11E-01	4.93E-01	3.04E-01	-5.70E-01		
EW033_RS07255	2.86E-01	1.59E-01	1.42E-01	5.04E-01	3.38E-01	-4.76E-01		
EW033_RS07260	3.93E-01	8.28E-03	7.59E-03	8.28E-01	2.98E-01	-6.57E-01		
EW033_RS07265	7.14E-02	4.38E-01	2.21E-01	7.38E-01	5.96E-01	-3.85E-01		
EW033_RS07310	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS07320	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS07325	4.11E-01	9.26E-01	9.23E-01	-3.07E-02	3.17E-01	-3.19E-01		
EW033_RS07330	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07335	2.86E-01	6.94E-02	5.94E-02	6.42E-01	3.33E-01	-5.15E-01		
EW033_RS07340	5.18E-01	4.28E-03	4.31E-03	8.61E-01	2.89E-01	-7.78E-01		
EW033_RS07345	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS07350	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS07355	5.71E-01	5.18E-01	5.26E-01	2.00E-01	3.14E-01	-4.46E-01		
EW033_RS07360	1.43E-01	1.36E-01	2.14E-01	5.52E-01	4.39E-01	-4.11E-01		
EW033_RS07365	4.29E-01	7.06E-01	7.06E-01	-1.19E-01	3.14E-01	-2.81E-01		
EW033_RS07370	2.50E-01	1.02E-01	1.34E-01	5.36E-01	3.52E-01	-4.66E-01		
EW033_RS07375	3.93E-01	4.61E-02	4.86E-02	6.21E-01	3.07E-01	-5.76E-01		
EW033_RS07380	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS07385	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07390	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS07400	3.21E-01	1.37E-01	1.70E-01	4.56E-01	3.28E-01	-4.78E-01		
EW033_RS07405	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS07410	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS07415	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS07420	5.00E-01	1.10E-01	1.10E-01	4.94E-01	3.04E-01	-5.79E-01		
EW033_RS07425	2.50E-01	2.82E-01	2.50E-01	4.13E-01	3.55E-01	-4.35E-01		
EW033_RS07430	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07435	4.29E-01	1.20E-02	1.14E-02	7.77E-01	2.96E-01	-6.65E-01		
EW033_RS07440	3.57E-01	6.96E-03	6.80E-03	8.54E-01	3.04E-01	-6.37E-01		
EW033_RS07450	4.46E-01	7.96E-02	8.08E-02	5.42E-01	3.04E-01	-5.74E-01		
EW033_RS07460	7.14E-02	1.09E-02	1.02E-01	9.81E-01	5.90E-01	-4.02E-01		
EW033_RS07465	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS07470	3.93E-01	2.81E-02	2.59E-02	6.97E-01	3.04E-01	-6.06E-01		
EW033_RS07475	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07480	1.43E-01	4.57E-01	3.57E-01	4.10E-01	4.42E-01	-3.90E-01		
EW033_RS07485	1.07E-01	2.98E-02	1.38E-01	7.42E-01	4.93E-01	-4.11E-01		
EW033_RS07495	4.11E-01	6.69E-02	6.70E-02	5.74E-01	3.07E-01	-5.67E-01		
EW033_RS07500	4.46E-01	6.15E-01	6.11E-01	-1.60E-01	3.13E-01	-2.60E-01		
EW033_RS07505	3.57E-01	2.14E-01	2.15E-01	4.02E-01	3.20E-01	-4.75E-01		
EW033_RS07510	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS07520	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS07525	3.75E-01	3.59E-01	3.70E-01	2.89E-01	3.19E-01	-4.40E-01		
EW033_RS07530	8.21E-01	1.18E-01	1.87E-01	5.35E-01	4.00E-01	-7.71E-01		
EW033_RS07540	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS07545	3.21E-01	1.37E-01	1.70E-01	4.56E-01	3.28E-01	-4.78E-01		
EW033_RS07550	2.50E-01	3.02E-01	3.25E-01	3.54E-01	3.56E-01	-4.20E-01		
EW033_RS07560	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07565	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS07570	7.32E-01	4.38E-02	7.46E-02	6.21E-01	3.41E-01	-7.86E-01		
EW033_RS07575	1.79E-01	4.70E-01	4.12E-01	3.34E-01	4.04E-01	-3.92E-01		
EW033_RS07580	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS07585	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS07590	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07595	5.00E-01	2.62E-01	2.62E-01	3.49E-01	3.08E-01	-5.06E-01		
EW033_RS07600	3.93E-01	8.41E-02	8.17E-02	5.50E-01	3.10E-01	-5.48E-01		
EW033_RS07605	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07610	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07615	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS07620	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07625	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07630	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07635	1.79E-01	2.48E-01	1.94E-01	5.27E-01	4.00E-01	-4.26E-01		
